timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726841536284,79,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-15,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,79,0,42
1726841536308,55,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-14,text,true,,901,290,14,14,https://reqres.in/api/users,55,0,0
1726841536315,49,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-10,text,true,,901,290,14,14,https://reqres.in/api/users,49,0,0
1726841536302,61,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-35,text,true,,901,290,14,14,https://reqres.in/api/users,61,0,0
1726841536307,59,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-32,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,59,0,29
1726841536304,62,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-13,text,true,,901,290,14,14,https://reqres.in/api/users,62,0,0
1726841536330,46,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-28,text,true,,901,290,14,14,https://reqres.in/api/users,45,0,0
1726841536328,59,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-33,text,true,,901,290,14,14,https://reqres.in/api/users,59,0,0
1726841536312,76,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-11,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,75,0,29
1726841536323,68,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-30,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,67,0,46
1726841536334,67,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-29,text,true,,901,290,14,14,https://reqres.in/api/users,67,0,0
1726841536361,48,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-31,text,true,,901,290,14,14,https://reqres.in/api/users,48,0,0
1726841536340,70,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-34,text,true,,901,290,14,14,https://reqres.in/api/users,70,0,0
1726841536366,48,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-32,text,true,,901,290,14,14,https://reqres.in/api/users,48,0,0
1726841536364,52,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-15,text,true,,901,290,14,14,https://reqres.in/api/users,52,0,0
